2026-06-06 14:19:06 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-06 14:19:18 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-06 14:19:49 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-06 14:20:19 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-06 14:20:49 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-06 14:21:19 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-06 14:21:49 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-06 14:22:19 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-06 14:22:49 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-06 14:23:20 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-06 15:20:58 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-06 15:21:28 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-06 15:21:58 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
